timestamp,open,high,low,close,volume,open interest
2023-09-25,14880.25,14955.75,14782.25,14935.25,568859,232185
2023-09-26,14949.00,14949.00,14666.25,14715.00,667617,239394
2023-09-27,14725.25,14821.50,14586.00,14739.00,716200,241099
2023-09-28,14772.50,14947.50,14658.00,14859.75,734472,241427
2023-09-29,14876.50,15060.75,14811.00,14866.50,745541,242719
2023-10-02,14965.00,15046.00,14826.00,14984.75,762896,245394
2023-10-03,14989.50,15031.00,14651.50,14714.50,762964,253223
2023-10-04,14713.75,14956.00,14589.00,14923.75,803257,249240
2023-10-05,14903.00,14958.75,14716.25,14861.75,676461,249283
2023-10-06,14853.75,15160.25,14660.00,15112.00,840602,256522
2023-10-09,15040.25,15212.75,14949.50,15187.00,610104,0
